year,iiso3c,eiso3c,value
2013,ABW,BEL,774353.0
2013,ABW,BHS,4712537.0
2013,ABW,CHE,17812626.0
2013,ABW,CHN,25319168.0
2013,ABW,COL,22160086.0
2013,ABW,DOM,9316793.0
2013,ABW,ESP,8708237.0
2013,ABW,FRA,13262797.0
2013,ABW,GBR,88157843.0
2013,ABW,JAM,2428953.0
2013,ABW,KOR,22692559.0
2013,ABW,MEX,14735982.0
2013,ABW,NLD,144310637.0
2013,ABW,PAN,38561288.0
2013,ABW,POL,154633.0
2013,ABW,SUR,972820.0
2013,ABW,TTO,7612651.0
2013,ABW,USA,606477425.0
2013,ABW,VEN,14067783.0
2013,ALB,BEL,22101708.0
2013,ALB,BHS,1613.0
2013,ALB,CHE,77405899.0
2013,ALB,CHN,318062527.0
2013,ALB,COL,1562730.0
2013,ALB,DOM,80933.0
2013,ALB,ESP,75482970.0
2013,ALB,FRA,125743820.0
2013,ALB,GBR,37466334.0
2013,ALB,KOR,22915662.0
2013,ALB,MEX,3456214.0
2013,ALB,NLD,30911853.0
2013,ALB,PAN,117078.0
2013,ALB,POL,73214051.0
2013,ALB,USA,94166952.0
2013,ALB,VEN,1695995.0
2013,ALB,DEU,280347443.0
2013,ALB,IND,23202014.0
2013,ALB,IRN,991420.0
2013,ALB,JPN,17043255.0
2013,ALB,PAK,2501944.0
2013,ALB,SAU,1837502.0
2013,ALB,AFG,4751.0
2013,ALB,ARE,4725207.0
2013,ALB,ARG,16728398.0
2013,ALB,ARM,1584.0
2013,ALB,ATG,9942.0
2013,ALB,AUS,1895124.0
2013,ALB,AUT,58300317.0
2013,ALB,AZE,933.0
2013,ALB,BGD,2420597.0
2013,ALB,BGR,70423716.0
2013,ALB,BHR,846.0
2013,ALB,BIH,30924151.0
2013,ALB,BLR,639420.0
2013,ALB,BLZ,
2013,ALB,BMU,41.0
2013,ALB,BOL,1619.0
2013,ALB,BRA,40778846.0
2013,ALB,BTN,6303.0
2013,ALB,CAF,18821.0
2013,ALB,CAN,29516686.0
2013,ALB,CHL,221531.0
